uuid,institutioncode,collectioncode,provider_lat,aggregator_lat,provider_lon,aggregator_lon,provider_country,aggregator_country,aggregator_stateprovince,aggregator_county,aggregator_locality
d67e6119-4f6d-4dd4-b707-17ad92c4f1ca,fmnh,mammals,-87.959794,42.151415,42.151415,-87.959794,USA,united states,illinois,cook co.,"buffalo grove, 497 middlesex ct."
d7b00cc1-d3f4-4dc8-b620-415c4f5ddac8,fmnh,mammals,-88.050341,41.746975,41.746975,-88.050341,USA,united states,illinois,dupage co.,woodridge
dc7c5651-67af-42cb-8cd2-f3187f77fdd0,fmnh,mammals,-87.653683,41.928973,41.928973,-87.653683,USA,united states,illinois,cook co.,"chicago, lincoln ave & halsted st (lincoln park)"
e03fe1b8-2f0a-45d7-8f2b-230e19463555,fmnh,mammals,-87.79207,42.177242,42.177242,-87.79207,USA,united states,illinois,kane co,"highland park, 1351 st. johns ave"
e072cbba-09ff-4a18-bfcf-549495d1b92b,fmnh,mammals,29.75,24.833334,24.833334,29.75,Egypt,egypt,matruh,NA,"el malfa, siwa, 110 km w"
ea4ae984-1902-4a2a-9548-673787f60b3d,fmnh,mammals,-88.107013,41.86614,41.86614,-88.107013,USA,united states,illinois,dupage co.,wheaton
ea60d165-3512-4598-97a3-a48ccd21c279,fmnh,mammals,5.3535261,52.444561,52.444561,5.3535261,Netherlands,netherlands,flevoland prov,NA,oostvaardersplassen
ebcc77fb-8a09-4fa9-82a5-ff282b072986,fmnh,mammals,34.5833321,34.9500008,34.9500008,34.5833321,Cyprus,cyprus,NA,NA,akrotiri
f046f10d-fa8a-42c6-a49f-928cb1e34c94,fmnh,mammals,23.40413,-19.41979,-19.41979,23.40413,Botswana,botswana,NA,NA,"chitabe, gomoti river, highbanks"
f15b308d-2430-4059-ab61-85e162f8bc88,fmnh,mammals,-88.109944,41.863136,41.863136,-88.109944,USA,united states,illinois,dupage co.,"wheaton, washington and willow"
f4bd5200-58b8-4101-b99e-ac61d38dc2aa,fmnh,mammals,6.2663531,52.8601189,52.8601189,6.2663531,Netherlands,netherlands,drenth prov,NA,wapse
f82fbfd4-ae19-4192-a164-03657ec2ea80,fmnh,mammals,29.75,24.833334,24.833334,29.75,Egypt,egypt,matruh,NA,"siwa oasis, siwa, 110 km w; el malfa"
